# contains at first column the different Watts, then vertical, horizontal, diagonal mean values of the edge measurement
   5.00000,  18.69766,  21.62517,   7.99242
  10.00000,  23.30443,  32.47059,  15.51848
  15.00000,  29.71415,  46.89874,  23.66136
  20.00000,  36.42324,  61.38728,  31.43207
  25.00000,  44.51534,  73.59411,  36.07084
  30.00000,  27.94039,  50.23044,  30.97946
  35.00000,  35.97242,  87.54137,  51.77475
  40.00000,  61.75144, 141.48677,  81.73738
  45.00000,  91.33657, 202.40538, 112.99650
  50.00000,  98.72618, 212.05857, 118.91194
  55.00000, 105.31305, 217.98771, 123.41481
  60.00000, 110.71063, 236.47830, 125.68292
  65.00000, 116.83159, 247.86509, 129.93321
  70.00000, 121.84279, 258.55237, 133.44946
  75.00000, 127.63510, 269.95020, 137.66853
  80.00000, 132.48802, 279.62713, 139.86715
  85.00000, 137.52586, 290.13624, 143.15516
  90.00000, 139.44101, 293.67468, 144.01487
  95.00000, 141.43629, 297.15705, 145.64134
 100.00000, 143.26881, 300.48727, 146.32556
 105.00000, 144.87128, 302.29547, 147.86355
 110.00000, 146.83853, 295.86507, 148.63678
 115.00000, 148.14506, 308.42432, 149.01971
 120.00000, 150.41421, 311.64281, 148.90047
 125.00000, 151.90330, 314.45867, 150.94666
 130.00000, 149.06798, 316.06522, 151.75328
 135.00000, 144.41112, 314.81839, 171.48252
 140.00000, 140.00625, 307.52638, 144.38316
 145.00000, 140.13759, 296.28775, 152.99460
 150.00000, 133.27904, 286.82728, 195.72301
