# contains at first column the different Watts, then vertical, horizontal, diagonal mean values of the edge measurement
   5.00000,  42.34051,  35.77001,  44.96198
  10.00000,  44.40718,  41.75991,  46.61100
  15.00000,  49.05584,  50.85822,  51.84967
  20.00000,  49.80657,  56.94004,  51.90163
  25.00000,  70.83854,  76.48644,  72.91389
  30.00000,  53.69481,  52.97943,  56.16172
  35.00000,  55.53858,  68.37927,  60.69417
  40.00000,  67.04872, 110.10690,  77.18358
  45.00000,  78.29568, 156.79675, 105.36934
  50.00000,  82.22388, 170.07598, 110.51260
  55.00000,  87.16106, 182.14032, 118.20305
  60.00000,  90.51085, 193.97887, 124.55888
  65.00000,  94.84767, 206.84244, 131.91149
  70.00000,  99.09915, 219.15640, 138.36246
  75.00000,  98.50080, 229.07949, 137.53158
  80.00000,  96.83640, 215.56286, 134.88676
  85.00000,  98.62162, 219.21870, 135.27745
  90.00000, 102.01793, 216.27357, 135.46550
  95.00000, 104.55125, 211.43041, 133.46769
 100.00000, 107.66510, 207.13592, 128.11102
 110.00000, 109.78077, 191.24947, 124.97461
 120.00000, 111.61702, 178.93512, 122.38333
 130.00000, 118.07363, 179.14152, 124.85719
 140.00000, 121.52609, 178.39864, 127.34379
 150.00000, 124.33798, 178.04703, 126.04697
 160.00000, 124.24869, 175.77034, 124.08686
 170.00000, 124.36513, 171.19582, 122.16184
 180.00000, 127.18922, 172.74895, 127.87676
 190.00000, 124.18693, 171.04921, 121.94058
 200.00000, 129.58412, 178.99698, 128.79703
