X: PhotonEnergy [eV],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
11,4262.49,4254.59
20.4192,4232.54,4224.7
29.8383,4202.59,4194.81
39.2575,4172.64,4164.93
48.6766,4142.69,4135.04
58.0958,4112.74,4105.15
67.5149,4082.78,4075.27
76.9341,4052.83,4045.38
86.3532,4022.88,4015.49
95.7724,3992.93,3985.61
105.192,3962.98,3955.72
114.611,3933.03,3925.84
124.03,3903.08,3895.95
133.449,3873.13,3866.06
142.868,3843.18,3836.18
152.287,3813.22,3806.29
161.706,3783.27,3776.4
171.126,3753.32,3746.52
180.545,3723.37,3716.63
189.964,3693.42,3686.74
199.383,3663.47,3656.86
208.802,3633.52,3626.97
218.221,3603.57,3597.08
227.641,3573.62,3567.2
237.06,3543.66,3537.31
246.479,3513.71,3507.43
255.898,3483.76,3477.54
265.317,3453.81,3447.65
274.736,3423.86,3417.77
284.155,3393.91,3387.88
293.575,3363.96,3357.99
302.994,3334.01,3328.11
312.413,3304.06,3298.22
321.832,3274.1,3268.33
331.251,3244.15,3238.45
340.67,3214.2,3208.56
350.089,3184.25,3178.67
359.509,3154.3,3148.79
368.928,3124.35,3118.9
378.347,3094.4,3089.02
387.766,3064.45,3059.13
397.185,3034.5,3029.24
406.604,3004.54,2999.36
416.024,2974.59,2969.47
425.443,2944.64,2939.58
434.862,2914.69,2909.7
444.281,2884.74,2879.81
453.7,2854.79,2849.92
463.119,2824.84,2820.04
472.538,2794.89,2790.15
481.958,2764.94,2760.26
491.377,2734.98,2730.38
500.796,2705.03,2700.49
510.215,2675.08,2670.61
519.634,2645.13,2640.72
529.053,2615.18,2610.83
538.473,2585.23,2580.95
547.892,2555.28,2551.06
557.311,2525.33,2521.17
566.73,2495.38,2491.29
576.149,2465.42,2461.4
585.568,2435.47,2431.51
594.987,2405.52,2401.63
604.407,2375.57,2371.74
613.826,2345.62,2341.85
623.245,2315.67,2311.97
632.664,2285.72,2282.08
642.083,2255.77,2252.2
651.502,2225.82,2222.31
660.922,2195.86,2192.42
670.341,2165.91,2162.54
679.76,2135.96,2132.65
689.179,2106.01,2102.76
698.598,2076.06,2072.88
708.017,2046.11,2042.99
717.436,2016.16,2013.1
726.856,1986.21,1983.22
736.275,1956.26,1953.33
745.694,1926.3,1923.44
755.113,1896.35,1893.56
764.532,1866.4,1863.67
773.951,1836.45,1833.79
783.37,1806.5,1803.9
792.79,1776.55,1774.01
802.209,1746.6,1744.13
811.628,1716.65,1714.24
821.047,1686.7,1684.35
830.466,1656.74,1654.47
839.885,1626.79,1624.58
849.305,1596.84,1594.69
858.724,1566.89,1564.81
868.143,1536.94,1534.92
877.562,1506.99,1505.03
886.981,1477.04,1475.15
896.4,1447.09,1445.26
905.819,1417.14,1415.38
915.239,1387.18,1385.49
924.658,1357.23,1355.6
934.077,1327.28,1325.72
943.496,1297.33,1295.83
952.915,1267.38,1265.94
962.334,1237.43,1236.06
971.754,1207.48,1206.17
981.173,1177.53,1176.28
990.592,1147.57,1146.4
1000.01,1117.62,1116.51
1009.43,1087.67,1086.62
1018.85,1057.9,1056.91
1028.27,1029.96,1028.9
1037.69,1002.01,1000.9
1047.11,975.585,974.472
1056.53,949.211,948.099
1065.95,925.019,923.953
1075.36,901.232,900.221
1084.78,878.296,877.307
1094.2,855.895,854.906
1103.62,833.963,832.974
1113.04,812.782,811.793
1122.46,791.931,790.933
1131.88,772.877,771.826
1141.3,753.823,752.72
1150.72,736.236,735.165
1160.14,718.972,717.952
1169.56,701.812,700.823
1178.97,684.822,683.833
1188.39,667.926,666.937
1197.81,653.177,652.188
1207.23,638.428,637.439
1216.65,623.787,622.798
1226.07,609.257,608.268
1235.49,594.802,593.81
1244.91,581.702,580.662
1254.33,568.603,567.514
1263.75,556.096,555.007
1273.17,544.172,543.13
1282.59,532.249,531.253
1292,520.88,519.891
1301.42,509.608,508.619
1310.84,498.544,497.555
1320.26,488.333,487.344
1329.68,478.122,477.133
1339.1,468.145,467.156
1348.52,458.472,457.483
1357.94,448.798,447.809
1367.36,439.487,438.529
1376.78,430.351,429.437
1386.2,421.215,420.346
1395.62,413.132,412.229
1405.03,405.148,404.203
1414.45,397.163,396.177
1423.87,389.307,388.358
1433.29,381.458,380.552
1442.71,373.661,372.796
1452.13,366.508,365.643
1461.55,359.356,358.49
1470.97,352.269,351.404
1480.39,345.765,344.9
1489.81,339.26,338.395
1499.23,332.8,331.935
1508.65,326.926,326.061
1518.06,320.943,320.078
1527.48,314.961,314.096
1536.9,309.113,308.248
1546.32,303.291,302.426
1555.74,297.469,296.604
1565.16,292.189,291.324
1574.58,287.081,286.216
1584,281.973,281.107
1593.42,276.988,276.122
1602.84,272.142,271.277
1612.26,267.297,266.431
1621.68,262.524,261.658
1631.09,258.084,257.219
1640.51,253.645,252.78
1649.93,249.206,248.34
1659.35,244.965,244.1
1668.77,240.781,239.915
1678.19,236.596,235.731
1687.61,232.555,231.689
1697.03,228.744,227.879
1706.45,224.933,224.068
1715.87,221.122,220.257
1725.29,217.467,216.601
1734.7,213.832,212.967
1744.12,210.198,209.333
