X: PhotonEnergy [eV],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
7,142973,143740
20.3029,141680,142436
33.6058,140387,141132
46.9087,139094,139828
60.2117,137801,138524
73.5146,136508,137220
86.8175,135215,135916
100.12,133921,134612
113.423,132628,133308
126.726,131335,132004
140.029,130042,130700
153.332,128749,129396
166.635,127456,128092
179.938,126163,126789
193.241,124870,125485
206.544,123577,124181
219.847,122283,122877
233.15,120990,121573
246.452,119697,120269
259.755,118404,118965
273.058,117111,117661
286.361,115818,116357
299.664,114525,115053
312.967,113232,113749
326.27,111938,112445
339.573,110645,111141
352.876,109352,109837
366.179,108059,108533
379.482,106766,107229
392.784,105473,105925
406.087,104180,104621
419.39,102887,103317
432.693,101593,102013
445.996,100300,100709
459.299,99007.2,99404.8
472.602,97714.1,98100.8
485.905,96421,96796.8
499.208,95127.9,95492.8
512.511,93834.8,94188.9
525.814,92541.6,92884.9
539.117,91248.5,91580.9
552.419,89955.4,90276.9
565.722,88662.3,88972.9
579.025,87369.2,87668.9
592.328,86076,86364.9
605.631,84782.9,85061
618.934,83489.8,83757
632.237,82196.7,82453
645.54,80903.6,81149
658.843,79610.4,79845
672.146,78317.3,78541
685.449,77024.2,77237
698.751,75731.1,75933.1
712.054,74438,74629.1
725.357,73144.8,73325.1
738.66,71851.7,72021.1
751.963,70558.6,70717.1
765.266,69265.5,69413.1
778.569,67972.4,68109.1
791.872,66679.2,66805.1
805.175,65386.1,65501.2
818.478,64093,64197.2
831.781,62799.9,62893.2
845.084,61506.8,61589.2
858.386,60213.7,60285.2
871.689,58920.5,58981.2
884.992,57627.4,57677.2
898.295,56334.3,56373.3
911.598,55041.2,55069.3
924.901,53748.1,53765.3
938.204,52454.9,52461.3
951.507,51161.8,51157.3
964.81,49868.7,49853.3
978.113,48575.6,48549.3
991.416,47282.5,47245.4
1004.72,45989.3,45941.4
1018.02,45754.9,45696.1
1031.32,44463.9,44414.9
1044.63,43207.1,43158.1
1057.93,41984.6,41925.8
1071.23,40857.1,40798.3
1084.54,39749.4,39698.4
1097.84,38669,38636.6
1111.14,37627.6,37598.1
1124.44,36619.7,36588
1137.75,35686.1,35645.5
