X: PhotonEnergy [eV],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
7,125269,124650
20.3029,124149,123538
33.6058,123028,122425
46.9087,121908,121313
60.2117,120788,120200
73.5146,119668,119088
86.8175,118547,117975
100.12,117427,116863
113.423,116307,115750
126.726,115187,114638
140.029,114066,113525
153.332,112946,112413
166.635,111826,111300
179.938,110706,110188
193.241,109585,109075
206.544,108465,107963
219.847,107345,106850
233.15,106225,105738
246.452,105104,104625
259.755,103984,103513
273.058,102864,102400
286.361,101744,101287
299.664,100623,100175
312.967,99503.2,99062.4
326.27,98383,97949.9
339.573,97262.8,96837.4
352.876,96142.5,95724.9
366.179,95022.2,94612.3
379.482,93902,93499.8
392.784,92781.8,92387.3
406.087,91661.5,91274.8
419.39,90541.3,90162.2
432.693,89421,89049.7
445.996,88300.8,87937.2
459.299,87180.5,86824.7
472.602,86060.3,85712.2
485.905,84940,84599.6
499.208,83819.8,83487.1
512.511,82699.5,82374.6
525.814,81579.3,81262.1
539.117,80459,80149.6
552.419,79338.8,79037
565.722,78218.5,77924.5
579.025,77098.3,76812
592.328,75978,75699.5
605.631,74857.8,74586.9
618.934,73737.5,73474.4
632.237,72617.3,72361.9
645.54,71497,71249.4
658.843,70376.8,70136.9
672.146,69256.6,69024.3
685.449,68136.3,67911.8
698.751,67016.1,66799.3
712.054,65895.8,65686.8
725.357,64775.6,64574.2
738.66,63655.3,63461.7
751.963,62535.1,62349.2
765.266,61414.8,61236.7
778.569,60294.6,60124.2
791.872,59174.3,59011.6
805.175,58054.1,57899.1
818.478,56933.8,56786.6
831.781,55813.6,55674.1
845.084,54693.3,54561.5
858.386,53573.1,53449
871.689,52452.8,52336.5
884.992,51332.6,51224
898.295,50212.3,50111.5
911.598,49092.1,48998.9
924.901,47971.9,47886.4
938.204,46851.6,46773.9
951.507,45731.4,45661.4
964.81,44611.1,44548.9
978.113,43490.9,43436.3
991.416,42370.6,42323.8
1004.72,41250.4,41211.3
1018.02,40130.2,40098.9
1031.32,39080.3,39042
1044.63,38047.7,38005.8
1057.93,37032.5,36990.7
1071.23,37188.1,37146.3
1084.54,36948.9,36909.8
1097.84,35982,35949.6
1111.14,35059.6,35028.2
1124.44,34164.7,34131.7
1137.75,33323.9,33284.6
1151.05,32523.7,32485.5
1164.35,31749.7,31717.6
1177.66,30978.2,30946.8
1190.96,30227.8,30195.1
1204.26,29549.8,29511.4
1217.57,29265.8,29224
1230.87,28850.1,28808.3
1244.17,28163,28121.2
1257.47,27496.6,27454.8
1270.78,26878.5,26841.6
1284.08,26266.8,26235.4
1297.38,25682.7,25645.7
1310.69,25104.2,25063
1323.99,24564,24528.2
1337.29,24027.4,23995.1
1350.59,23508.6,23471
1363.9,22994.9,22954.6
1377.2,22499.6,22466.3
1390.5,22019.8,21990.3
1403.81,21583.2,21548.7
1417.11,21146.3,21107.6
1430.41,20707.5,20668.8
1443.71,20273,20234.4
1457.02,19867.7,19830.1
1470.32,19463.2,19426.6
1483.62,19089.1,19053
1496.93,18715.1,18679.5
1510.23,18353.4,18316.8
1523.53,17986.1,17949.5
1536.83,17622.5,17585.9
1550.14,17261.4,17224.8
1563.44,16915.9,16879.5
1576.74,16592.9,16556.9
1590.05,16271,16235.5
1603.35,15962.9,15926.8
1616.65,15654.7,15618.2
1629.96,15362.8,15326.9
1643.26,15076.4,15041.3
