X: PhotonEnergy [eV],Y: XCOM:Rayle...nt)[cm^-1],Y: XCOM:Compt...nt)[cm^-1],Y: XCOM:Photo...ric[cm^-1],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
11,48.9892,-0.0165095,143348,142584,143348
23.5608,48.9585,-0.0159246,142117,141364,142117
36.1217,48.9277,-0.0153398,140886,140142,140886
48.6825,48.8969,-0.0147549,139654,138922,139654
61.2434,48.8661,-0.0141701,138423,137701,138423
73.8042,48.8353,-0.0135852,137192,136480,137192
86.3651,48.8046,-0.0130004,135961,135259,135961
98.9259,48.7738,-0.0124156,134730,134038,134730
111.487,48.743,-0.0118307,133498,132817,133498
124.048,48.7122,-0.0112459,132267,131596,132267
136.608,48.6814,-0.010661,131036,130375,131036
149.169,48.6506,-0.0100762,129805,129154,129805
161.73,48.6199,-0.00949135,128573,127933,128573
174.291,48.5891,-0.00890651,127342,126712,127342
186.852,48.5583,-0.00832167,126111,125491,126111
199.413,48.5275,-0.00773683,124880,124270,124880
211.973,48.4967,-0.00715198,123648,123049,123648
224.534,48.466,-0.00656714,122417,121828,122417
237.095,48.4352,-0.0059823,121186,120607,121186
249.656,48.4044,-0.00539746,119955,119386,119955
262.217,48.3736,-0.00481262,118723,118165,118723
274.778,48.3428,-0.00422777,117492,116944,117492
287.339,48.3121,-0.00364293,116261,115723,116261
299.899,48.2813,-0.00305809,115030,114502,115030
312.46,48.2505,-0.00247325,113798,113281,113798
325.021,48.2197,-0.00188841,112567,112060,112567
337.582,48.1889,-0.00130356,111336,110839,111336
350.143,48.1581,-0.000718722,110105,109618,110105
362.704,48.1274,-0.000133879,108873,108397,108873
375.264,48.0966,0.000450962,107642,107176,107642
387.825,48.0658,0.0010358,106411,105955,106411
400.386,48.035,0.00162065,105180,104734,105180
412.947,48.0042,0.00220549,103948,103513,103948
425.508,47.9735,0.00279033,102717,102292,102717
438.069,47.9427,0.00337517,101486,101071,101486
450.629,47.9119,0.00396001,100255,99850,100255
463.19,47.8811,0.00454486,99023.4,98629,99023.4
475.751,47.8503,0.0051297,97792.1,97408,97792.1
488.312,47.8196,0.00571454,96560.9,96187,96560.9
500.873,47.7888,0.00629938,95329.6,94966,95329.6
513.434,47.758,0.00688422,94098.4,93745,94098.4
525.995,47.7272,0.00746907,92867.1,92524.1,92867.1
538.555,47.6964,0.00805391,91635.9,91303.1,91635.9
551.116,47.6656,0.00863875,90404.6,90082.1,90404.6
563.677,47.6349,0.00922359,89173.4,88861.1,89173.4
576.238,47.6041,0.00980844,87942.1,87640.1,87942.1
588.799,47.5733,0.0103933,86710.9,86419.1,86710.9
601.36,47.5425,0.0109781,85479.7,85198.1,85479.7
613.92,47.5117,0.011563,84248.4,83977.2,84248.4
626.481,47.481,0.0121478,83017.2,82756.2,83017.2
639.042,47.4502,0.0127326,81785.9,81535.2,81785.9
651.603,47.4194,0.0133175,80554.7,80314.2,80554.7
664.164,47.3886,0.0139023,79323.4,79093.2,79323.4
