Filename:  C:\Users\bier\Desktop\testzeug\step1_2_100kv10w60s.mca;;;;;;Filename:  C:\Users\bier\Desktop\testzeug\step_2.1428_100kv10w60s.mca;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.2856_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.4283_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.5711_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.7138_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.8567_100kv10w60s.mca;;;;;;;;;;;Filename:  C:\Users\bier\Desktop\spectra_few_channel\visimapzentral100kv10w60s_few_channel\step_2.9994_100kv10w60s.mca;;
Description:  ;;;;;;Description:  ;;;;;;Description:  ;;;;;;;;;;;Description:  ;;;;;;;;;;;Description:  ;;;;;;;;;;;Description:  ;;;;;;;;;;;Description:  ;;;;;;;;;;;Description:  ;;
TimeStamp:  06/03/2015 17:37:09;;;;;;TimeStamp:  06/03/2015 17:40:06;;;;;;TimeStamp:  06/03/2015 17:42:40;;;;;;;;;;;TimeStamp:  06/03/2015 17:44:26;;;;;;;;;;;TimeStamp:  06/03/2015 17:46:12;;;;;;;;;;;TimeStamp:  06/03/2015 17:49:08;;;;;;;;;;;TimeStamp:  06/03/2015 17:53:05;;;;;;;;;;;TimeStamp:  06/03/2015 17:56:43;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calibration Information;;;;;;Calibration Information;;;;;;Calibration Information;;;;;;;;;;;Calibration Information;;;;;;;;;;;Calibration Information;;;;;;;;;;;Calibration Information;;;;;;;;;;;Calibration Information;;;;;;;;;;;Calibration Information;;
Label:  Channel;;;;;;Label:  Channel;;;;;;Label:  Channel;;;;;;;;;;;Label:  Channel;;;;;;;;;;;Label:  Channel;;;;;;;;;;;Label:  Channel;;;;;;;;;;;Label:  Channel;;;;;;;;;;;Label:  Channel;;
Channel;Value;;;;;Channel;Value;;;;;Channel;Value;;;;;;;;;;Channel;Value;;;;;;;;;;Channel;Value;;;;;;;;;;Channel;Value;;;;;;;;;;Channel;Value;;;;;;;;;;Channel;Value;
296;58.5;;;;;296;58.5;;;;;296;58.5;;;;;;;;;;296;58.5;;;;;;;;;;296;58.5;;;;;;;;;;296;58.5;;;;;;;;;;296;58.5;;;;;;;;;;296;58.5;
337;67.24;;;;;337;67.24;;;;;337;67.24;;;;;;;;;;337;67.24;;;;;;;;;;337;67.24;;;;;;;;;;337;67.24;;;;;;;;;;337;67.24;;;;;;;;;;337;67.24;
A;B;C;;;;A;B;C;;;;A;B;C;;;;;;;;;A;B;C;;;;;;;;;A;B;C;;;;;;;;;A;B;C;;;;;;;;;A;B;C;;;;;;;;;A;B;C
-459.854;0.213171;0;;;;-459.854;0.213171;0;;;;-459.854;0.213171;0;;;;;;;;;-459.854;0.213171;0;;;;;;;;;-459.854;0.213171;0;;;;;;;;;-459.854;0.213171;0;;;;;;;;;-459.854;0.213171;0;;;;;;;;;-459.854;0.213171;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spectral Data Information;Data;;;;;Spectral Data Information;Data;;;;;Spectral Data Information;;;;;;;;;;;Spectral Data Information;;;;;;;;;;;Spectral Data Information;;;;;;;;;;;Spectral Data Information;;;;;;;;;;;Spectral Data Information;;;;;;;;;;;Spectral Data Information;;
Channel;0;;;;;Channel;0;;;;;Channel;Data;;;;;;;;;;Channel;Data;;;;;;;;;;Channel;Data;;;;;;;;;;Channel;Data;;;;;;;;;;Channel;Data;;;;;;;;;;Channel;Data;
0;0;;;;;0;0;;;;;0;0;;;;;;;;;;0;0;;;;;;;;;;0;0;;;;;;;;;;0;0;;;;;;;;;;0;0;;;;;;;;;;0;0;
1;0;;;;;1;0;;;;;1;0;;;;;;;;;;1;0;;;;;;;;;;1;0;;;;;;;;;;1;0;;;;;;;;;;1;0;;;;;;;;;;1;0;
2;0;;;;;2;0;;;;;2;0;;;;;;;;;;2;0;;;;;;;;;;2;0;;;;;;;;;;2;0;;;;;;;;;;2;0;;;;;;;;;;2;0;
3;0;;;;;3;0;;;;;3;0;;;;;;;;;;3;0;;;;;;;;;;3;0;;;;;;;;;;3;0;;;;;;;;;;3;0;;;;;;;;;;3;0;
4;0;;;;;4;0;;;;;4;0;;;;;;;;;;4;0;;;;;;;;;;4;0;;;;;;;;;;4;0;;;;;;;;;;4;0;;;;;;;;;;4;0;
5;0;;;;;5;0;;;;;5;0;;;;;;;;;;5;0;;;;;;;;;;5;0;;;;;;;;;;5;0;;;;;;;;;;5;0;;;;;;;;;;5;0;
6;0;;;;;6;0;;;;;6;0;;;;;;;;;;6;0;;;;;;;;;;6;0;;;;;;;;;;6;0;;;;;;;;;;6;0;;;;;;;;;;6;0;
7;0;;;;;7;0;;;;;7;0;;;;;;;;;;7;0;;;;;;;;;;7;0;;;;;;;;;;7;0;;;;;;;;;;7;0;;;;;;;;;;7;0;
8;0;;;;;8;0;;;;;8;0;;;;;;;;;;8;0;;;;;;;;;;8;0;;;;;;;;;;8;0;;;;;;;;;;8;0;;;;;;;;;;8;0;
9;0;;;;;9;0;;;;;9;0;;;;;;;;;;9;0;;;;;;;;;;9;0;;;;;;;;;;9;0;;;;;;;;;;9;0;;;;;;;;;;9;0;
10;0;;;;;10;0;;;;;10;0;;;;;;;;;;10;0;;;;;;;;;;10;0;;;;;;;;;;10;0;;;;;;;;;;10;0;;;;;;;;;;10;0;
11;0;;;;;11;0;;;;;11;0;;;;;;;;;;11;0;;;;;;;;;;11;0;;;;;;;;;;11;0;;;;;;;;;;11;0;;;;;;;;;;11;0;
12;0;;;;;12;0;;;;;12;0;;;;;;;;;;12;0;;;;;;;;;;12;0;;;;;;;;;;12;0;;;;;;;;;;12;0;;;;;;;;;;12;0;
